Chan,Energy,Counts
904,  2229.58,0
905,  2232.15,0
906,  2234.71,0
907,  2237.27,0
908,  2239.84,0
909,  2242.40,0
910,  2244.97,0
911,  2247.53,0
912,  2250.10,0
913,  2252.66,0
914,  2255.23,0
915,  2257.79,0
916,  2260.35,0
917,  2262.92,0
918,  2265.48,0
919,  2268.05,0
920,  2270.61,0
921,  2273.18,0
922,  2275.74,0
923,  2278.31,0
924,  2280.87,0
925,  2283.44,0
926,  2286.00,0
927,  2288.56,0
928,  2291.13,0
929,  2293.69,0
930,  2296.26,0
931,  2298.82,0
932,  2301.39,0
933,  2303.95,0
934,  2306.52,0
935,  2309.08,0
936,  2311.65,1
937,  2314.21,0
938,  2316.77,0
939,  2319.34,0
940,  2321.90,0
941,  2324.47,0
942,  2327.03,0
943,  2329.60,0
944,  2332.16,0
945,  2334.73,0
946,  2337.29,0
947,  2339.85,0
948,  2342.42,0
949,  2344.98,0
950,  2347.55,0
951,  2350.11,0
952,  2352.68,0
953,  2355.24,0
954,  2357.81,0
955,  2360.37,0
956,  2362.94,0
957,  2365.50,0
958,  2368.06,0
959,  2370.63,0
960,  2373.19,0
961,  2375.76,0
962,  2378.32,0
963,  2380.89,0
964,  2383.45,0
965,  2386.02,0
966,  2388.58,0
967,  2391.15,0
968,  2393.71,0
969,  2396.27,0
970,  2398.84,1
971,  2401.40,0
972,  2403.97,0
973,  2406.53,0
974,  2409.10,0
975,  2411.66,0
976,  2414.23,0
977,  2416.79,0
978,  2419.35,0
979,  2421.92,0
980,  2424.48,0
981,  2427.05,0
982,  2429.61,0
983,  2432.18,0
984,  2434.74,0
985,  2437.31,1
986,  2439.87,0
987,  2442.44,0
988,  2445.00,0
989,  2447.56,0
990,  2450.13,0
991,  2452.69,0
992,  2455.26,0
993,  2457.82,0
994,  2460.39,0
995,  2462.95,0
996,  2465.52,0
997,  2468.08,0
998,  2470.65,0
999,  2473.21,0
1000,  2475.77,0
1001,  2478.34,0
1002,  2480.90,0
1003,  2483.47,0
1004,  2486.03,0
1005,  2488.60,0
1006,  2491.16,0
1007,  2493.73,0
1008,  2496.29,0
1009,  2498.85,0
1010,  2501.42,0
1011,  2503.98,0
1012,  2506.55,0
1013,  2509.11,0
1014,  2511.68,0
1015,  2514.24,0
1016,  2516.81,0
1017,  2519.37,0
1018,  2521.94,0
1019,  2524.50,0
1020,  2527.06,0
1021,  2529.63,1
1022,  2532.19,0
1023,  2534.76,0
