Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.82
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:50:47
End Time:,Tuesday, January 21, 2025, 14:51:48

Channel Data:
Chan,Energy,Counts
762,  1865.42,3
763,  1867.98,9
764,  1870.55,3
765,  1873.11,3
766,  1875.68,3
767,  1878.24,0
768,  1880.81,1
769,  1883.37,4
770,  1885.94,3
771,  1888.50,2
772,  1891.06,5
773,  1893.63,1
774,  1896.19,2
775,  1898.76,2
776,  1901.32,2
777,  1903.89,2
778,  1906.45,1
779,  1909.02,2
780,  1911.58,5
781,  1914.15,0
782,  1916.71,0
783,  1919.27,3
784,  1921.84,3
785,  1924.40,0
786,  1926.97,1
787,  1929.53,3
788,  1932.10,4
789,  1934.66,4
790,  1937.23,5
791,  1939.79,0
792,  1942.35,2
793,  1944.92,1
794,  1947.48,2
795,  1950.05,3
796,  1952.61,4
797,  1955.18,2
798,  1957.74,4
799,  1960.31,3
800,  1962.87,2
801,  1965.44,0
802,  1968.00,0
803,  1970.56,0
804,  1973.13,2
805,  1975.69,2
806,  1978.26,4
807,  1980.82,1
808,  1983.39,3
809,  1985.95,2
810,  1988.52,3
811,  1991.08,2
812,  1993.65,2
813,  1996.21,4
814,  1998.77,3
815,  2001.34,1
816,  2003.90,3
817,  2006.47,2
818,  2009.03,2
819,  2011.60,1
820,  2014.16,5
821,  2016.73,4
822,  2019.29,1
823,  2021.85,0
824,  2024.42,2
825,  2026.98,1
826,  2029.55,2
827,  2032.11,0
828,  2034.68,3
829,  2037.24,2
830,  2039.81,0
831,  2042.37,3
832,  2044.94,4
833,  2047.50,1
834,  2050.06,3
835,  2052.63,3
836,  2055.19,2
837,  2057.76,2
838,  2060.32,3
839,  2062.89,2
840,  2065.45,2
841,  2068.02,3
842,  2070.58,0
843,  2073.15,1
844,  2075.71,0
845,  2078.27,4
846,  2080.84,2
847,  2083.40,2
848,  2085.97,2
849,  2088.53,3
850,  2091.10,1
851,  2093.66,2
852,  2096.23,5
853,  2098.79,5
854,  2101.35,4
855,  2103.92,3
